dataset,method,noise_levels,instance_level,avg_accuracy,avg_kappa,avg_kappa_loss,sd_accuracy,sd_kappa
credit-g,knn,0.1,0.7,0.997,0.99,0.01,0.004,0.015
credit-g,knn,0.1,0.75,0.996,0.986,0.014,0.004,0.014
credit-g,knn,0.1,0.8,0.996,0.986,0.014,0.004,0.014
credit-g,knn,0.1,0.9,0.994,0.98,0.02,0.008,0.026
credit-g,knn,0.1,1,0.994,0.98,0.02,0.008,0.026
credit-g,knn,0.2,0.1,0.999,0.997,0.003,0.002,0.007
credit-g,knn,0.2,0.2,0.998,0.993,0.007,0.003,0.009
credit-g,knn,0.2,0.25,0.995,0.984,0.016,0.005,0.015
credit-g,knn,0.2,0.3,0.994,0.981,0.019,0.004,0.013
credit-g,knn,0.2,0.4,0.992,0.976,0.024,0.008,0.022
credit-g,knn,0.2,0.5,0.992,0.976,0.024,0.008,0.022
credit-g,knn,0.2,0.6,0.99,0.969,0.031,0.006,0.016
credit-g,knn,0.2,0.7,0.987,0.959,0.041,0.006,0.016
credit-g,knn,0.2,0.75,0.986,0.955,0.045,0.007,0.021
credit-g,knn,0.2,0.8,0.985,0.952,0.048,0.008,0.027
credit-g,knn,0.2,0.9,0.984,0.949,0.051,0.007,0.025
credit-g,knn,0.2,1,0.984,0.949,0.051,0.007,0.025
credit-g,knn,0.3,0.1,0.997,0.99,0.01,0.004,0.016
credit-g,knn,0.3,0.2,0.996,0.986,0.014,0.007,0.023
credit-g,knn,0.3,0.25,0.996,0.986,0.014,0.007,0.023
credit-g,knn,0.3,0.3,0.996,0.986,0.014,0.007,0.023
credit-g,knn,0.3,0.4,0.994,0.98,0.02,0.005,0.02
credit-g,knn,0.3,0.5,0.991,0.971,0.029,0.004,0.016
credit-g,knn,0.3,0.6,0.99,0.967,0.033,0.004,0.014
credit-g,knn,0.3,0.7,0.989,0.964,0.036,0.004,0.017
credit-g,knn,0.3,0.75,0.987,0.957,0.043,0.007,0.026
credit-g,knn,0.3,0.8,0.987,0.957,0.043,0.007,0.026
credit-g,knn,0.3,0.9,0.984,0.948,0.052,0.004,0.018
credit-g,knn,0.3,1,0.983,0.945,0.055,0.006,0.023
credit-g,lvq,0.1,0.1,1,1,0,0,0
credit-g,lvq,0.1,0.2,1,1,0,0,0
credit-g,lvq,0.1,0.25,1,1,0,0,0
credit-g,lvq,0.1,0.3,1,1,0,0,0
credit-g,lvq,0.1,0.4,1,1,0,0,0
credit-g,lvq,0.1,0.5,1,1,0,0,0
credit-g,lvq,0.1,0.6,1,1,0,0,0
credit-g,lvq,0.1,0.7,1,1,0,0,0
credit-g,lvq,0.1,0.75,1,1,0,0,0
credit-g,lvq,0.1,0.8,1,1,0,0,0
credit-g,lvq,0.1,0.9,1,1,0,0,0
credit-g,lvq,0.1,1,1,1,0,0,0
credit-g,lvq,0.2,0.1,1,1,0,0,0
credit-g,lvq,0.2,0.2,1,1,0,0,0
credit-g,lvq,0.2,0.25,1,1,0,0,0
credit-g,lvq,0.2,0.3,1,1,0,0,0
credit-g,lvq,0.2,0.4,1,1,0,0,0
credit-g,lvq,0.2,0.5,1,1,0,0,0
credit-g,lvq,0.2,0.6,1,1,0,0,0
credit-g,lvq,0.2,0.7,1,1,0,0,0
credit-g,lvq,0.2,0.75,1,1,0,0,0
credit-g,lvq,0.2,0.8,1,1,0,0,0
credit-g,lvq,0.2,0.9,1,1,0,0,0
credit-g,lvq,0.2,1,1,1,0,0,0
credit-g,lvq,0.3,0.1,1,1,0,0,0
credit-g,lvq,0.3,0.2,1,1,0,0,0
credit-g,lvq,0.3,0.25,1,1,0,0,0
credit-g,lvq,0.3,0.3,1,1,0,0,0
credit-g,lvq,0.3,0.4,1,1,0,0,0
credit-g,lvq,0.3,0.5,1,1,0,0,0
credit-g,lvq,0.3,0.6,1,1,0,0,0
credit-g,lvq,0.3,0.7,1,1,0,0,0
credit-g,lvq,0.3,0.75,1,1,0,0,0
credit-g,lvq,0.3,0.8,1,1,0,0,0
credit-g,lvq,0.3,0.9,1,1,0,0,0
credit-g,lvq,0.3,1,1,1,0,0,0
credit-g,mlpML,0.1,0.1,1,1,0,0,0
credit-g,mlpML,0.1,0.2,1,1,0,0,0
credit-g,mlpML,0.1,0.25,1,1,0,0,0
credit-g,mlpML,0.1,0.3,1,1,0,0,0
credit-g,mlpML,0.1,0.4,1,1,0,0,0
credit-g,mlpML,0.1,0.5,1,1,0,0,0
credit-g,mlpML,0.1,0.6,1,1,0,0,0
credit-g,mlpML,0.1,0.7,1,1,0,0,0
credit-g,mlpML,0.1,0.75,1,1,0,0,0
credit-g,mlpML,0.1,0.8,1,1,0,0,0
credit-g,mlpML,0.1,0.9,1,1,0,0,0
credit-g,mlpML,0.1,1,1,1,0,0,0
credit-g,mlpML,0.2,0.1,1,1,0,0,0
credit-g,mlpML,0.2,0.2,1,1,0,0,0
credit-g,mlpML,0.2,0.25,1,1,0,0,0
credit-g,mlpML,0.2,0.3,1,1,0,0,0
credit-g,mlpML,0.2,0.4,1,1,0,0,0
credit-g,mlpML,0.2,0.5,1,1,0,0,0
credit-g,mlpML,0.2,0.6,1,1,0,0,0
credit-g,mlpML,0.2,0.7,1,1,0,0,0
credit-g,mlpML,0.2,0.75,1,1,0,0,0
credit-g,mlpML,0.2,0.8,1,1,0,0,0
credit-g,mlpML,0.2,0.9,1,1,0,0,0
credit-g,mlpML,0.2,1,1,1,0,0,0
credit-g,mlpML,0.3,0.1,1,1,0,0,0
credit-g,mlpML,0.3,0.2,1,1,0,0,0
